Street Segement,SHAPELEN,District_1,District_2,TRAIN_ONEHOT,METRO_BLUESILVER,LIQUOR_ONEHOT,METRO_ORANGE,District_3,GRAFFITI_ONEHOT,District_4,District_5,District_6,District_7,GAS_ONEHOT,METRO_RED,METRO_GREEN,METRO_YELLOW,PUBLICSCHOOL_ES_ONEHOT,PUBLICSCHOOL_MS_ONEHOT,PUBLICSCHOOL_HS_ONEHOT,FAGI_MEDIAN_2015,POPDENSITY,HOUSINGDENSITY,PERCVACANTHOUSING,FAGI_MEDIAN_CHANGE,FEDERAL_ONEHOT,CORRIDOR_ONEHOT,HOMICIDES_ONEHOT
39,198.50943,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28949.25,15227.75783,7458.517729,0.200617639,1.091462337,0,0,0
40,108.19314,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28461,14141.67236,6480.3899,0.152352502,1.039101862,0,1,0
41,111.75618,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50138,3468.550043,1863.383427,0.065991203,1.194985737,0,0,0
42,79.13816,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,1,0
43,200.15666,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47555.75,4427.719183,1858.174705,0.077082417,1.064948033,1,1,0
44,91.32761,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60618.5,13221.44113,7700.119926,0.125745563,1.14967016,1,0,0
45,151.37643,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,81726,27103.16453,20245.10101,0.160144491,1.119043707,1,1,0
46,268.33394,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,58798.5,8237.614784,4036.075181,0.133367929,1.257184092,1,1,0
47,87.93126,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,0,0
48,82.13014,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,76569.5,45682.41074,35182.05856,0.072493573,1.181154167,1,1,0
49,165.29155,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,63711,17483.60433,9855.433518,0.107615894,1.348552197,1,1,0
50,142.68626,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91305.5,17844.27655,12820.54374,0.141176828,1.139194109,1,1,0
51,197.90713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80862,21901.92287,10246.04914,0.063953488,1.068387813,0,0,0
52,199.98111,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,46248.25,43361.2327,21165.00388,0.102420105,1.360752117,0,0,1
53,150.19256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82842.5,22698.13619,13161.14589,0.059600151,1.17846423,1,1,0
54,126.62509,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28104,11770.19033,5142.52616,0.118465919,1.004364299,0,0,1
55,135.03152,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72231,5339.773445,4105.059781,0.11960368,1.300557271,0,0,0
56,135.38545,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,72231,5339.773445,4105.059781,0.11960368,1.300557271,0,0,0
57,176.04156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,67011,4342.367825,3090.480371,0.11426844,1.109830323,0,0,0
58,200.5817,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58798.5,8237.614784,4036.075181,0.133367929,1.257184092,0,0,0
59,25.4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76744,23265.33503,12992.66564,0.069105799,1.185605252,1,0,0
60,136.91479,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56785,11735.02762,8076.86505,0.147848317,1.242383468,1,0,0
62,7.52017,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56441.25,23503.68946,11334.92174,0.106128281,1.250513094,0,0,0
63,72.24139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33866,22770.70831,12098.83058,0.177984274,1.345597584,0,0,0
64,71.81154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33866,22770.70831,12098.83058,0.177984274,1.345597584,0,0,0
65,143.51283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25783,7519.054421,3816.993837,0.141045959,0.982583841,0,0,0
66,101.44813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34598,7858.433002,3707.856489,0.100145908,0.976342874,1,0,0
67,132.52423,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40260,4196.616603,2261.517479,0.101554637,0.965075889,1,0,0
68,26.94248,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96409.5,11176.66682,5956.25149,0.065122747,1.17535049,0,0,0
69,263.48503,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,39963,25348.43333,9937.288767,0.107869142,1.406157635,0,1,1
70,30.32211,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33796,56849.3354,27422.68498,0.095604396,1.431669914,1,0,0
71,123.5232,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67328,18421.52059,11066.29512,0.087706332,1.057568761,1,0,0
72,107.10876,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,46152,10448.56932,3237.68642,0.23904974,1.174739736,0,1,0
73,83.91432,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,44960,16214.85908,6547.919826,0.101851852,1.29526663,1,0,0
74,179.91795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100633.5,8048.275319,6558.064624,0.215091067,1.209653572,1,1,0
75,132.00014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57250,23260.84839,12562.18449,0.065206235,1.412216324,0,0,0
76,99.50383,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69195,14382.50717,7885.63656,0.066801619,1.171327488,1,0,0
77,27.01087,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,54931.5,13966.08682,6546.559969,0.173332817,1.261645966,1,1,1
78,62.44007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44960,16214.85908,6547.919826,0.101851852,1.29526663,0,0,0
79,79.23048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,49357,12472.4129,5736.258222,0.15569311,1.481002823,0,0,1
80,82.48956,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44960,16214.85908,6547.919826,0.101851852,1.29526663,0,1,0
81,102.33841,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46152,10448.56932,3237.68642,0.23904974,1.174739736,0,0,0
82,154.05007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52042,12060.37509,7514.603292,0.184689507,1.128012832,1,0,0
83,118.58034,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,46152,10448.56932,3237.68642,0.23904974,1.174739736,1,0,0
